no,date,workout,duration,category,year,month,week,day
1,2017-01-01,Rest,0,rest,2017,1,52,1
2,2017-01-02,Rest,0,rest,2017,1,1,2
3,2017-01-03,Rest,0,rest,2017,1,1,3
4,2017-01-04,Rest,0,rest,2017,1,1,4
5,2017-01-05,Chest,68,chest,2017,1,1,5
6,2017-01-06,Back,48,back,2017,1,1,6
7,2017-01-07,Running,24,cardio,2017,1,1,7
8,2017-01-08,Other,52,other,2017,1,1,8
9,2017-01-09,Back,44,back,2017,1,2,9
10,2017-01-10,Running,24,cardio,2017,1,2,10
11,2017-01-11,Chest,71,chest,2017,1,2,11
12,2017-01-12,Back,44,back,2017,1,2,12
13,2017-01-13,Running,24,cardio,2017,1,2,13
14,2017-01-14,Other,66,other,2017,1,2,14
15,2017-01-15,Back,45,back,2017,1,2,15
16,2017-01-16,Running,24,cardio,2017,1,3,16
17,2017-01-17,Chest,49,chest,2017,1,3,17
18,2017-01-18,Back,60,back,2017,1,3,18
19,2017-01-19,Running,24,cardio,2017,1,3,19
20,2017-01-20,Other,38,other,2017,1,3,20
21,2017-01-21,Back,39,back,2017,1,3,21
22,2017-01-22,Running,46,cardio,2017,1,3,22
23,2017-01-23,Back,50,back,2017,1,4,23
24,2017-01-24,Chest,60,chest,2017,1,4,24
25,2017-01-25,Running,47,cardio,2017,1,4,25
26,2017-01-26,Back,45,back,2017,1,4,26
27,2017-01-27,Chest,45,chest,2017,1,4,27
28,2017-01-28,Running,49,cardio,2017,1,4,28
29,2017-01-29,Back,41,back,2017,1,4,29
30,2017-01-30,Rest,0,rest,2017,1,5,30
31,2017-01-31,Chest,47,chest,2017,1,5,31
32,2017-02-01,Rest,0,rest,2017,2,5,1
33,2017-02-02,Running,38,cardio,2017,2,5,2
34,2017-02-03,Back,51,back,2017,2,5,3
35,2017-02-04,Chest,43,chest,2017,2,5,4
36,2017-02-05,Running,35,cardio,2017,2,5,5
37,2017-02-06,Back,40,back,2017,2,6,6
38,2017-02-07,Chest,67,chest,2017,2,6,7
39,2017-02-08,Back,43,back,2017,2,6,8
40,2017-02-09,Rest,0,rest,2017,2,6,9
41,2017-02-10,Chest,44,chest,2017,2,6,10
42,2017-02-11,Running,46,cardio,2017,2,6,11
43,2017-02-12,Back,44,back,2017,2,6,12
44,2017-02-13,Chest,54,chest,2017,2,7,13
45,2017-02-14,Running,47,cardio,2017,2,7,14
46,2017-02-15,Back,52,back,2017,2,7,15
47,2017-02-16,Chest,45,chest,2017,2,7,16
48,2017-02-17,Back,49,back,2017,2,7,17
49,2017-02-18,Rest,0,rest,2017,2,7,18
50,2017-02-19,Running,26,cardio,2017,2,7,19
51,2017-02-20,Back,49,back,2017,2,8,20
52,2017-02-21,Chest,47,chest,2017,2,8,21
53,2017-02-22,Rest,0,rest,2017,2,8,22
54,2017-02-23,Back,43,back,2017,2,8,23
55,2017-02-24,Running,46,cardio,2017,2,8,24
56,2017-02-25,Rest,0,rest,2017,2,8,25
57,2017-02-26,Back,39,back,2017,2,8,26
58,2017-02-27,Chest,38,chest,2017,2,9,27
59,2017-02-28,Running,47,cardio,2017,2,9,28
60,2017-03-01,Back,49,back,2017,3,9,1
61,2017-03-02,Chest,56,chest,2017,3,9,2
62,2017-03-03,Running,46,cardio,2017,3,9,3
63,2017-03-04,Back,44,back,2017,3,9,4
64,2017-03-05,Chest,42,chest,2017,3,9,5
65,2017-03-06,Running,45,cardio,2017,3,10,6
66,2017-03-07,Back,43,back,2017,3,10,7
67,2017-03-08,Chest,46,chest,2017,3,10,8
68,2017-03-09,Rest,0,rest,2017,3,10,9
69,2017-03-10,Back,40,back,2017,3,10,10
70,2017-03-11,Chest,37,chest,2017,3,10,11
71,2017-03-12,Back,41,back,2017,3,10,12
72,2017-03-13,Chest,45,chest,2017,3,11,13
73,2017-03-14,Back,41,back,2017,3,11,14
74,2017-03-15,Chest,45,chest,2017,3,11,15
75,2017-03-16,Back,52,back,2017,3,11,16
76,2017-03-17,Rest,0,rest,2017,3,11,17
77,2017-03-18,Chest,47,chest,2017,3,11,18
78,2017-03-19,Back,62,back,2017,3,11,19
79,2017-03-20,Chest,51,chest,2017,3,12,20
80,2017-03-21,Rest,0,rest,2017,3,12,21
81,2017-03-22,Back,43,back,2017,3,12,22
82,2017-03-23,Chest,42,chest,2017,3,12,23
83,2017-03-24,Back,38,back,2017,3,12,24
84,2017-03-25,Chest,37,chest,2017,3,12,25
85,2017-03-26,Back,51,back,2017,3,12,26
86,2017-03-27,Chest,36,chest,2017,3,13,27
87,2017-03-28,Rest,0,rest,2017,3,13,28
88,2017-03-29,Rest,0,rest,2017,3,13,29
89,2017-03-30,Cardio,53,cardio,2017,3,13,30
90,2017-03-31,Chest,45,chest,2017,3,13,31
91,2017-04-01,Pull 2 + Cardio,92,double_workout,2017,4,13,1
92,2017-04-02,Texas + Cardio,64,double_workout,2017,4,13,2
93,2017-04-03,Rest,0,rest,2017,4,14,3
94,2017-04-04,Chest,34,chest,2017,4,14,4
95,2017-04-05,Back,41,back,2017,4,14,5
96,2017-04-06,Cardio,63,cardio,2017,4,14,6
97,2017-04-07,Back,43,back,2017,4,14,7
98,2017-04-08,Other,40,other,2017,4,14,8
99,2017-04-09,Insane Chest + Cardio,112,double_workout,2017,4,14,9
100,2017-04-10,Rest,0,rest,2017,4,15,10
101,2017-04-11,Back + Cardio,109,double_workout,2017,4,15,11
102,2017-04-12,Chest,50,chest,2017,4,15,12
103,2017-04-13,Back,46,back,2017,4,15,13
104,2017-04-14,Compound,36,compound,2017,4,15,14
105,2017-04-15,Cardio,56,cardio,2017,4,15,15
106,2017-04-16,Rest,0,rest,2017,4,15,16
107,2017-04-17,Running,41,cardio,2017,4,16,17
108,2017-04-18,Compound,50,compound,2017,4,16,18
109,2017-04-19,Back,50,back,2017,4,16,19
110,2017-04-20,Compound,46,compound,2017,4,16,20
111,2017-04-21,Chest,38,chest,2017,4,16,21
112,2017-04-22,Compound,45,compound,2017,4,16,22
113,2017-04-23,Running,25,cardio,2017,4,16,23
114,2017-04-24,Rest,0,rest,2017,4,17,24
115,2017-04-25,Back,49,back,2017,4,17,25
116,2017-04-26,Chest,37,chest,2017,4,17,26
117,2017-04-27,Running,36,cardio,2017,4,17,27
118,2017-04-28,Back,40,back,2017,4,17,28
119,2017-04-29,Chest,42,chest,2017,4,17,29
120,2017-04-30,Pull 1 + Cardio,84,double_workout,2017,4,17,30
121,2017-05-01,Chest,41,chest,2017,5,18,1
122,2017-05-02,Running,36,cardio,2017,5,18,2
123,2017-05-03,Cobra Back + Abs,51,double_workout,2017,5,18,3
124,2017-05-04,Chest,40,chest,2017,5,18,4
125,2017-05-05,Running,37,cardio,2017,5,18,5
126,2017-05-06,Back,44,back,2017,5,18,6
127,2017-05-07,Chest,39,chest,2017,5,18,7
128,2017-05-08,Back,41,back,2017,5,19,8
129,2017-05-09,Texas + Cardio,81,double_workout,2017,5,19,9
130,2017-05-10,Legs,48,legs,2017,5,19,10
131,2017-05-11,Texas + Cardio,71,double_workout,2017,5,19,11
132,2017-05-12,Chest,46,chest,2017,5,19,12
133,2017-05-13,Back,34,back,2017,5,19,13
134,2017-05-14,Compound,43,compound,2017,5,19,14
135,2017-05-15,Chest,39,chest,2017,5,20,15
136,2017-05-16,Running,32,cardio,2017,5,20,16
137,2017-05-17,Back,50,back,2017,5,20,17
138,2017-05-18,Chest + Cardio,85,double_workout,2017,5,20,18
139,2017-05-19,Compound,50,compound,2017,5,20,19
140,2017-05-20,Legs,50,legs,2017,5,20,20
141,2017-05-21,Compound,52,compound,2017,5,20,21
142,2017-05-22,Chest,48,chest,2017,5,21,22
143,2017-05-23,Running,33,cardio,2017,5,21,23
144,2017-05-24,Back,43,back,2017,5,21,24
145,2017-05-25,Running,37,cardio,2017,5,21,25
146,2017-05-26,Compound,43,compound,2017,5,21,26
147,2017-05-27,Legs,50,legs,2017,5,21,27
148,2017-05-28,Compound,44,compound,2017,5,21,28
149,2017-05-29,Chest,37,chest,2017,5,22,29
150,2017-05-30,Running,34,cardio,2017,5,22,30
151,2017-05-31,Back,42,back,2017,5,22,31
152,2017-06-01,Compound,44,compound,2017,6,22,1
153,2017-06-02,Chest,39,chest,2017,6,22,2
154,2017-06-03,Back,33,back,2017,6,22,3
155,2017-06-04,Legs,37,legs,2017,6,22,4
156,2017-06-05,Compound,41,compound,2017,6,23,5
157,2017-06-06,Chest,45,chest,2017,6,23,6
158,2017-06-07,Back,34,back,2017,6,23,7
159,2017-06-08,Legs,23,legs,2017,6,23,8
160,2017-06-09,Compound,34,compound,2017,6,23,9
161,2017-06-10,Chest,36,chest,2017,6,23,10
162,2017-06-11,Back,36,back,2017,6,23,11
163,2017-06-12,Legs,25,legs,2017,6,24,12
164,2017-06-13,Compound,39,compound,2017,6,24,13
165,2017-06-14,Rest,0,rest,2017,6,24,14
166,2017-06-15,Chest,36,chest,2017,6,24,15
167,2017-06-16,Back,45,back,2017,6,24,16
168,2017-06-17,Legs,23,legs,2017,6,24,17
169,2017-06-18,Compound,40,compound,2017,6,24,18
170,2017-06-19,Back,37,back,2017,6,25,19
171,2017-06-20,Rest,0,rest,2017,6,25,20
172,2017-06-21,Rest,0,rest,2017,6,25,21
173,2017-06-22,Back,39,back,2017,6,25,22
174,2017-06-23,Chest,39,chest,2017,6,25,23
175,2017-06-24,Back,44,back,2017,6,25,24
176,2017-06-25,Chest + Back,45,double_workout,2017,6,25,25
177,2017-06-26,Chest,37,chest,2017,6,26,26
178,2017-06-27,Back,50,back,2017,6,26,27
179,2017-06-28,Chest and Biceps + Back,92,double_workout,2017,6,26,28
180,2017-06-29,Other,47,other,2017,6,26,29
181,2017-06-30,Chest,51,chest,2017,6,26,30
182,2017-07-01,Compound,54,compound,2017,7,26,1
183,2017-07-02,Back,35,back,2017,7,26,2
184,2017-07-03,Chest,53,chest,2017,7,27,3
185,2017-07-04,Back,45,back,2017,7,27,4
186,2017-07-05,Chest,66,chest,2017,7,27,5
187,2017-07-06,Back,67,back,2017,7,27,6
188,2017-07-07,Chest,81,chest,2017,7,27,7
189,2017-07-08,Back,59,back,2017,7,27,8
190,2017-07-09,Rest,0,rest,2017,7,27,9
191,2017-07-10,Chest,79,chest,2017,7,28,10
192,2017-07-11,Back,59,back,2017,7,28,11
193,2017-07-12,Legs,90,legs,2017,7,28,12
194,2017-07-13,Chest,72,chest,2017,7,28,13
195,2017-07-14,Back,58,back,2017,7,28,14
196,2017-07-15,Other,52,other,2017,7,28,15
197,2017-07-16,Rest,0,rest,2017,7,28,16
198,2017-07-17,Chest,113,chest,2017,7,29,17
199,2017-07-18,Back,118,back,2017,7,29,18
200,2017-07-19,Chest,82,chest,2017,7,29,19
201,2017-07-20,Back,109,back,2017,7,29,20
202,2017-07-21,Compound,92,compound,2017,7,29,21
203,2017-07-22,Other,35,other,2017,7,29,22
204,2017-07-23,Rest,0,rest,2017,7,29,23
205,2017-07-24,Back,106,back,2017,7,30,24
206,2017-07-25,Chest,105,chest,2017,7,30,25
207,2017-07-26,Back,53,back,2017,7,30,26
208,2017-07-27,Chest,82,chest,2017,7,30,27
209,2017-07-28,Back,103,back,2017,7,30,28
210,2017-07-29,Chest,65,chest,2017,7,30,29
211,2017-07-30,Cycling + Cobra Back,150,double_workout,2017,7,30,30
212,2017-07-31,Chest,52,chest,2017,7,31,31
213,2017-08-01,Back,54,back,2017,8,31,1
214,2017-08-02,Legs,59,legs,2017,8,31,2
215,2017-08-03,Compound,87,compound,2017,8,31,3
216,2017-08-04,Back,59,back,2017,8,31,4
217,2017-08-05,Chest,55,chest,2017,8,31,5
218,2017-08-06,Back,55,back,2017,8,31,6
219,2017-08-07,Chest,52,chest,2017,8,32,7
220,2017-08-08,Legs,68,legs,2017,8,32,8
221,2017-08-09,Back,63,back,2017,8,32,9
222,2017-08-10,Chest,87,chest,2017,8,32,10
223,2017-08-11,Compound,63,compound,2017,8,32,11
224,2017-08-12,Back,53,back,2017,8,32,12
225,2017-08-13,Compound,48,compound,2017,8,32,13
226,2017-08-14,Legs,48,legs,2017,8,33,14
227,2017-08-15,Chest,52,chest,2017,8,33,15
228,2017-08-16,Back,47,back,2017,8,33,16
229,2017-08-17,Chest,81,chest,2017,8,33,17
230,2017-08-18,Back,59,back,2017,8,33,18
231,2017-08-19,Legs,34,legs,2017,8,33,19
232,2017-08-20,Compound,66,compound,2017,8,33,20
233,2017-08-21,Compound + Chest,132,double_workout,2017,8,34,21
234,2017-08-22,Back,51,back,2017,8,34,22
235,2017-08-23,Legs,52,legs,2017,8,34,23
236,2017-08-24,Compound,61,compound,2017,8,34,24
237,2017-08-25,Back,65,back,2017,8,34,25
238,2017-08-26,Chest,49,chest,2017,8,34,26
239,2017-08-27,Rest,0,rest,2017,8,34,27
240,2017-08-28,Legs,49,legs,2017,8,35,28
241,2017-08-29,Chest,60,chest,2017,8,35,29
242,2017-08-30,Back,45,back,2017,8,35,30
243,2017-08-31,Compound,46,compound,2017,8,35,31
244,2017-09-01,Legs,49,legs,2017,9,35,1
245,2017-09-02,Chest,51,chest,2017,9,35,2
246,2017-09-03,Back,44,back,2017,9,35,3
247,2017-09-04,Legs,46,legs,2017,9,36,4
248,2017-09-05,Back,55,back,2017,9,36,5
249,2017-09-06,Chest,50,chest,2017,9,36,6
250,2017-09-07,Back,46,back,2017,9,36,7
251,2017-09-08,Legs,49,legs,2017,9,36,8
252,2017-09-09,Compound,50,compound,2017,9,36,9
253,2017-09-10,Chest,45,chest,2017,9,36,10
254,2017-09-11,Back,46,back,2017,9,37,11
255,2017-09-12,Rest,0,rest,2017,9,37,12
256,2017-09-13,Legs,42,legs,2017,9,37,13
257,2017-09-14,Chest,47,chest,2017,9,37,14
258,2017-09-15,Back,46,back,2017,9,37,15
259,2017-09-16,Legs,35,legs,2017,9,37,16
260,2017-09-17,Chest,48,chest,2017,9,37,17
261,2017-09-18,Back,39,back,2017,9,38,18
262,2017-09-19,Rest,0,rest,2017,9,38,19
263,2017-09-20,Rest,0,rest,2017,9,38,20
264,2017-09-21,Chest,38,chest,2017,9,38,21
265,2017-09-22,Running,31,cardio,2017,9,38,22
266,2017-09-23,Back,45,back,2017,9,38,23
267,2017-09-24,Running,29,cardio,2017,9,38,24
268,2017-09-25,Legs,40,legs,2017,9,39,25
269,2017-09-26,Running,32,cardio,2017,9,39,26
270,2017-09-27,Chest,39,chest,2017,9,39,27
271,2017-09-28,Running,33,cardio,2017,9,39,28
272,2017-09-29,Back,41,back,2017,9,39,29
273,2017-09-30,Running,33,cardio,2017,9,39,30
274,2017-10-01,Legs,37,legs,2017,10,39,1
275,2017-10-02,Running,34,cardio,2017,10,40,2
276,2017-10-03,Chest,40,chest,2017,10,40,3
277,2017-10-04,Running,36,cardio,2017,10,40,4
278,2017-10-05,Back,41,back,2017,10,40,5
279,2017-10-06,Running,31,cardio,2017,10,40,6
280,2017-10-07,Legs,33,legs,2017,10,40,7
281,2017-10-08,Running,39,cardio,2017,10,40,8
282,2017-10-09,Chest,41,chest,2017,10,41,9
283,2017-10-10,Running,35,cardio,2017,10,41,10
284,2017-10-11,Back,32,back,2017,10,41,11
285,2017-10-12,Running,38,cardio,2017,10,41,12
286,2017-10-13,Legs,35,legs,2017,10,41,13
287,2017-10-14,Chest,43,chest,2017,10,41,14
288,2017-10-15,Back,45,back,2017,10,41,15
289,2017-10-16,Legs,34,legs,2017,10,42,16
290,2017-10-17,Running,36,cardio,2017,10,42,17
291,2017-10-18,Compound,37,compound,2017,10,42,18
292,2017-10-19,Running,35,cardio,2017,10,42,19
293,2017-10-20,Legs,31,legs,2017,10,42,20
294,2017-10-21,Running,36,cardio,2017,10,42,21
295,2017-10-22,Compound,47,compound,2017,10,42,22
296,2017-10-23,Legs,31,legs,2017,10,43,23
297,2017-10-24,Running,37,cardio,2017,10,43,24
298,2017-10-25,Compound,43,compound,2017,10,43,25
299,2017-10-26,Running,36,cardio,2017,10,43,26
300,2017-10-27,Legs,36,legs,2017,10,43,27
301,2017-10-28,Chest,34,chest,2017,10,43,28
302,2017-10-29,Back,44,back,2017,10,43,29
303,2017-10-30,Legs,26,legs,2017,10,44,30
304,2017-10-31,Running,35,cardio,2017,10,44,31
305,2017-11-01,Compound,38,compound,2017,11,44,1
306,2017-11-02,Running,35,cardio,2017,11,44,2
307,2017-11-03,Legs,28,legs,2017,11,44,3
308,2017-11-04,Chest,40,chest,2017,11,44,4
309,2017-11-05,Back,39,back,2017,11,44,5
310,2017-11-06,Rest,0,rest,2017,11,45,6
311,2017-11-07,Rest,0,rest,2017,11,45,7
312,2017-11-08,Legs,28,legs,2017,11,45,8
313,2017-11-09,Running,35,cardio,2017,11,45,9
314,2017-11-10,Chest,42,chest,2017,11,45,10
315,2017-11-11,Back,42,back,2017,11,45,11
316,2017-11-12,Compound,41,compound,2017,11,45,12
317,2017-11-13,Legs,30,legs,2017,11,46,13
318,2017-11-14,Running,38,cardio,2017,11,46,14
319,2017-11-15,Compound,31,compound,2017,11,46,15
320,2017-11-16,Legs,30,legs,2017,11,46,16
321,2017-11-17,Running,40,cardio,2017,11,46,17
322,2017-11-18,Chest,38,chest,2017,11,46,18
323,2017-11-19,Back,34,back,2017,11,46,19
324,2017-11-20,Running,43,cardio,2017,11,47,20
325,2017-11-21,Running,42,cardio,2017,11,47,21
326,2017-11-22,Compound,45,compound,2017,11,47,22
327,2017-11-23,Running,42,cardio,2017,11,47,23
328,2017-11-24,Running,42,cardio,2017,11,47,24
329,2017-11-25,Legs,28,legs,2017,11,47,25
330,2017-11-26,Compound,48,compound,2017,11,47,26
331,2017-11-27,Running,42,cardio,2017,11,48,27
332,2017-11-28,Running,40,cardio,2017,11,48,28
333,2017-11-29,Compound,43,compound,2017,11,48,29
334,2017-11-30,Running,56,cardio,2017,11,48,30
335,2017-12-01,Running,43,cardio,2017,12,48,1
336,2017-12-02,Compound,52,compound,2017,12,48,2
337,2017-12-03,Legs,32,legs,2017,12,48,3
338,2017-12-04,Running,42,cardio,2017,12,49,4
339,2017-12-05,Running,44,cardio,2017,12,49,5
340,2017-12-06,Compound,39,compound,2017,12,49,6
341,2017-12-07,Running,44,cardio,2017,12,49,7
342,2017-12-08,Running,43,cardio,2017,12,49,8
343,2017-12-09,Compound,46,compound,2017,12,49,9
344,2017-12-10,Compound,47,compound,2017,12,49,10
345,2017-12-11,Running,44,cardio,2017,12,50,11
346,2017-12-12,Running,42,cardio,2017,12,50,12
347,2017-12-13,Compound,43,compound,2017,12,50,13
348,2017-12-14,Running,55,cardio,2017,12,50,14
349,2017-12-15,Compound,43,compound,2017,12,50,15
350,2017-12-16,Compound,46,compound,2017,12,50,16
351,2017-12-17,Rest,0,rest,2017,12,50,17
352,2017-12-18,Running,40,cardio,2017,12,51,18
353,2017-12-19,Running,41,cardio,2017,12,51,19
354,2017-12-20,Compound,47,compound,2017,12,51,20
355,2017-12-21,Running,40,cardio,2017,12,51,21
356,2017-12-22,Running,40,cardio,2017,12,51,22
357,2017-12-23,Compound,38,compound,2017,12,51,23
358,2017-12-24,Running,39,cardio,2017,12,51,24
359,2017-12-25,Rest,0,rest,2017,12,52,25
360,2017-12-26,Rest,0,rest,2017,12,52,26
361,2017-12-27,Compound,43,compound,2017,12,52,27
362,2017-12-28,Rest,0,rest,2017,12,52,28
363,2017-12-29,Rest,0,rest,2017,12,52,29
364,2017-12-30,Rest,0,rest,2017,12,52,30
365,2017-12-31,Rest,0,rest,2017,12,52,31
366,2018-01-01,Rest,0,rest,2018,1,1,1
367,2018-01-02,Compound,41,compound,2018,1,1,2
368,2018-01-03,Compound,40,compound,2018,1,1,3
369,2018-01-04,Compound,41,compound,2018,1,1,4
370,2018-01-05,Rest,0,rest,2018,1,1,5
371,2018-01-06,Rest,0,rest,2018,1,1,6
372,2018-01-07,Legs,26,legs,2018,1,1,7
373,2018-01-08,Chest,25,chest,2018,1,2,8
374,2018-01-09,Back,28,back,2018,1,2,9
375,2018-01-10,Rest,0,rest,2018,1,2,10
376,2018-01-11,Legs,23,legs,2018,1,2,11
377,2018-01-12,Chest,28,chest,2018,1,2,12
378,2018-01-13,Back,28,back,2018,1,2,13
379,2018-01-14,Rest,0,rest,2018,1,2,14
380,2018-01-15,Rest,0,rest,2018,1,3,15
381,2018-01-16,Rest,0,rest,2018,1,3,16
382,2018-01-17,Rest,0,rest,2018,1,3,17
383,2018-01-18,Chest,37,chest,2018,1,3,18
384,2018-01-19,Back,32,back,2018,1,3,19
385,2018-01-20,Legs,27,legs,2018,1,3,20
386,2018-01-21,Chest,31,chest,2018,1,3,21
387,2018-01-22,Back,27,back,2018,1,4,22
388,2018-01-23,Legs,26,legs,2018,1,4,23
